-1,0,*
0,0,*
1,Infantil,*
2,Infantil,*
4,Fundamental,*
5,Fundamental,*
6,Fundamental,*
7,Fundamental,*
8,Fundamental,*
9,Fundamental,*
10,Fundamental,*
11,Fundamental,*
14,Fundamental,*
15,Fundamental,*
16,Fundamental,*
17,Fundamental,*
18,Fundamental,*
19,Fundamental,*
20,Fundamental,*
21,Fundamental,*
25,Medio,*
26,Medio,*
27,Medio,*
28,Medio,*
29,Medio,*
30,Medio,*
31,Medio,*
32,Medio,*
33,Medio,*
34,Medio,*
35,Medio,*
36,Medio,*
37,Medio,*
38,Medio,*
39,Profissional,*
40,Profissional,*
41,Fundamental,*
65,EJA,*
67,EJA,*
68,EJA,*
69,EJA,*
70,EJA,*
71,EJA,*
73,EJA,*
74,EJA,*
